,NO2(GT),NOx(GT),PT08.S5(O3),PT08.S2(NMHC),PT08.S1(CO),PT08.S4(NO2),T,AH,C6H6(GT),RH,CO(GT),toDrop
4398,96,147,972,871,1031,1393,252,12049,73,381,12,0
4399,75,101,799,787,969,1350,244,11784,55,391,1,0
4400,58,69,630,680,881,1251,237,11289,35,391,5,0
4401,-200,-200,586,638,869,1213,242,11491,28,385,5,1
4402,41,49,629,644,866,1218,245,11688,29,385,4,0
4403,55,91,709,689,895,1250,224,11624,36,435,5,0
4404,73,144,858,786,933,1306,223,11631,55,438,7,0
4405,108,430,1300,1163,1209,1606,214,11515,155,458,24,0
4406,147,606,1676,1511,1417,1975,229,11383,283,413,41,0
4407,150,519,1384,1233,1227,1594,266,10378,178,303,3,0
4408,131,353,1125,1076,1093,1457,303,9770,128,230,2,0
4409,144,429,1189,1170,1135,1523,328,9234,157,189,25,0
4410,151,345,1088,1161,1112,1499,343,9416,154,177,24,0
4411,165,417,1118,1168,1147,1492,333,9536,156,189,26,0
4412,135,276,924,1070,1086,1423,330,9959,126,201,19,0
4413,143,280,935,1056,1077,1406,336,10029,122,196,21,0
4414,153,365,1009,1098,1110,1450,349,10106,134,184,25,0
4415,149,363,1016,1125,1146,1511,334,10270,143,203,27,0
4416,164,393,1188,1194,1211,1599,316,10410,165,227,33,0
4417,180,385,1290,1221,1218,1599,292,10709,174,269,32,0
4418,159,307,1130,1082,1136,1478,277,10991,129,301,26,0
4419,119,194,880,908,1017,1354,271,10991,82,310,14,0
4420,127,205,996,946,1063,1391,260,11071,92,334,16,0
4421,131,223,1054,951,1083,1393,251,11222,93,357,17,0
4422,101,176,1081,994,1077,1429,243,11525,104,385,16,0
4423,-200,-200,828,823,968,1343,234,11551,62,407,-200,1
4424,-200,-200,661,720,898,1259,232,11561,42,412,-200,1
4425,-200,-200,582,656,859,1213,236,11667,31,405,-200,1
4426,-200,-200,544,607,849,1190,235,11677,23,409,-200,1
4427,-200,-200,647,658,886,1234,205,11557,31,484,-200,1
4428,-200,-200,720,708,932,1285,207,11663,40,484,-200,1
4429,-200,-200,1207,1006,1144,1535,199,11694,108,508,-200,1
4430,-200,-200,1273,1083,1222,1624,213,11825,130,472,-200,1
4431,-200,-200,1303,989,1202,1506,240,11993,103,408,-200,1
4432,-200,-200,1479,1190,1323,1702,287,11769,163,303,-200,1
4433,-200,-200,1191,1074,1219,1532,319,11477,127,247,-200,1
4434,-200,-200,932,965,1121,1386,338,11331,97,219,-200,1
4435,-200,-200,826,942,1096,1366,327,11044,91,227,-200,1
4436,-200,-200,631,858,1019,1270,330,10512,70,213,-200,1
4437,-200,-200,598,857,1045,1308,339,10989,70,212,-200,1
4438,-200,-200,796,959,1147,1387,359,11845,95,203,-200,1
4439,-200,-200,759,971,1145,1418,342,11970,98,226,-200,1
4440,-200,-200,886,1040,1202,1506,320,12752,117,273,-200,1
4441,-200,-200,1071,1112,1283,1583,293,13105,139,326,-200,1
4442,-200,-200,826,929,1148,1443,272,13470,87,380,-200,1
4443,-200,-200,1103,1012,1229,1562,261,13705,109,411,-200,1
4444,-200,-200,1221,1060,1287,1595,253,14161,123,446,-200,1
4445,-200,-200,1449,1062,1285,1583,246,14424,124,472,-200,1
4446,-200,-200,1364,1055,1251,1602,241,14412,121,488,-200,1
4447,-200,-200,1111,900,1120,1462,236,14470,80,504,-200,1
4448,-200,-200,1129,917,1108,1495,220,14585,84,558,-200,1
4449,-200,-200,799,759,961,1375,224,14379,49,536,-200,1
4450,-200,-200,771,719,950,1372,216,14228,42,558,-200,1
4451,-200,-200,646,608,901,1299,218,14184,23,552,-200,1
4452,-200,-200,705,619,903,1315,217,14192,25,554,-200,1
4453,-200,-200,908,757,1024,1423,206,14350,49,598,-200,1
4454,-200,-200,1047,837,1093,1480,221,14495,66,553,-200,1
4455,-200,-200,1015,833,1097,1470,248,14883,65,482,-200,1
4456,-200,-200,938,830,1126,1528,279,16017,64,434,-200,1
4457,-200,-200,849,794,1139,1456,301,16212,56,385,-200,1
4458,-200,-200,844,832,1178,1542,282,18253,64,486,-200,1
4459,-200,-200,1036,883,1243,1660,248,21766,76,704,-200,1
4460,-200,-200,729,680,1017,1421,278,18209,35,494,-200,1
4461,-200,-200,556,672,1048,1438,254,19168,33,599,-200,1
4462,-200,-200,846,840,1254,1602,261,22310,66,668,-200,1
4463,-200,-200,942,911,1287,1664,280,19810,83,532,-200,1
4464,-200,-200,902,900,1215,1604,274,18404,80,514,-200,1
4465,-200,-200,1178,1071,1363,1763,257,18149,126,558,-200,1
4466,-200,-200,1426,1224,1436,1886,246,18363,175,603,-200,1
4467,-200,-200,1394,1143,1365,1796,242,18381,148,616,-200,1
4468,-200,-200,1935,1385,1506,2260,238,18495,233,635,-200,1
4469,-200,-200,1360,1055,1227,1772,230,18020,122,648,-200,1
4470,-200,-200,1061,866,1038,1570,230,17589,72,633,-200,1
4471,-200,-200,870,744,934,1473,228,17355,46,633,-200,1
4472,-200,-200,799,699,900,1452,210,16873,38,686,-200,1
4473,-200,-200,779,692,870,1443,204,16734,37,707,-200,1
4474,-200,-200,809,713,875,1436,194,16417,40,734,-200,1
4475,-200,-200,914,789,940,1473,195,16118,55,720,-200,1
4476,-200,-200,1033,913,1053,1578,197,15925,83,703,-200,1
4477,-200,-200,1572,1508,1509,2257,204,15770,282,667,-200,1
4478,-200,-200,1704,1599,1559,2374,218,15966,321,618,-200,1
4479,-200,-200,1455,1231,1313,1889,230,16652,177,602,-200,1
4480,138,475,1588,1251,1372,1890,254,16963,184,530,31,0
4481,138,395,1482,1190,1320,1825,300,17324,163,416,29,0
4482,138,353,1458,1246,1346,1907,326,16872,182,348,3,0
4483,137,397,1356,1236,1307,1869,322,16145,179,342,3,0
4484,120,274,1100,1069,1157,1653,321,15690,126,335,22,0
4485,208,505,1212,1026,1154,1623,326,15361,113,318,2,0
4486,128,275,1049,1145,1172,1676,352,14111,149,252,23,0
4487,145,360,1149,1254,1241,1735,343,13154,185,247,31,0
4488,-200,-200,1370,1433,1379,1982,315,13638,252,299,-200,1
4489,168,597,1716,1684,1570,2289,290,14452,359,366,62,0
4490,177,728,1600,1471,1418,2064,271,14949,267,422,47,0
4491,172,891,1592,1295,1317,1883,261,15445,199,464,3,0
4492,112,346,1491,1136,1204,1782,251,15480,146,494,21,0
4493,39,98,1084,853,1014,1499,260,15375,69,464,1,0
4494,68,144,1007,794,956,1456,247,15116,56,492,8,0
4495,51,110,823,708,891,1382,248,15092,39,490,7,0
4496,-200,-200,788,665,856,1375,235,15035,32,526,-200,1
4497,-200,-200,791,703,863,1403,208,15044,39,621,-200,1
4498,-200,-200,924,745,911,1428,199,15078,46,655,-200,1
4499,-200,-200,941,765,936,1462,206,15088,50,629,-200,1
4500,-200,-200,1103,964,1087,1633,213,14918,96,594,-200,1
4501,-200,-200,1657,1498,1540,2301,220,15199,278,583,-200,1
4502,-200,-200,1743,1601,1513,2382,232,15559,321,554,-200,1
4503,-200,-200,1601,1322,1409,2004,265,17130,209,502,-200,1
4504,-200,-200,1253,1042,1219,1750,290,17976,118,455,-200,1
4505,-200,-200,1295,1172,1286,1870,301,17602,158,420,-200,1
4506,-200,-200,1192,1174,1228,1788,323,17067,158,359,-200,1
4507,-200,-200,1046,1117,1140,1690,332,16900,140,338,-200,1
4508,-200,-200,803,906,1052,1516,340,17591,82,336,-200,1
4509,-200,-200,1116,1107,1282,1791,299,18942,137,456,-200,1
4510,-200,-200,1347,1282,1378,2010,277,19670,195,537,-200,1
4511,-200,-200,1530,1471,1506,2200,280,19604,267,527,-200,1
4512,-200,-200,1240,1259,1310,1926,286,18616,187,482,-200,1
4513,-200,-200,1092,1114,1204,1807,248,19067,139,616,-200,1
4514,-200,-200,740,842,1071,1575,203,18204,67,772,-200,1
4515,-200,-200,670,719,967,1490,197,18674,42,825,-200,1
4516,-200,-200,640,689,947,1454,206,18885,36,788,-200,1
4517,-200,-200,918,734,1011,1497,192,19195,44,872,-200,1
4518,-200,-200,804,722,971,1472,205,19360,42,815,-200,1
4519,-200,-200,694,627,886,1405,214,18683,26,740,-200,1
4520,-200,-200,796,657,908,1460,205,18678,31,782,-200,1
4521,-200,-200,804,652,901,1468,207,18764,30,778,-200,1
4522,-200,-200,829,674,915,1481,205,18636,34,780,-200,1
4523,-200,-200,848,712,940,1499,206,18272,40,762,-200,1
4524,-200,-200,992,891,1048,1654,201,18020,78,774,-200,1
4525,-200,-200,1256,1181,1298,1962,209,17870,161,733,-200,1
4526,-200,-200,1598,1493,1487,2345,212,18007,276,723,-200,1
4527,-200,-200,1403,1233,1327,1968,225,18511,178,689,-200,1
4528,-200,-200,1497,1255,1363,1989,237,18682,185,645,-200,1
4529,-200,-200,1500,1340,1393,2080,232,19243,216,684,-200,1
4530,-200,-200,1549,1324,1361,2044,235,19776,210,692,-200,1
4531,-200,-200,1374,1217,1289,1975,241,19371,172,655,-200,1
4532,-200,-200,1270,1184,1265,1930,242,19501,161,656,-200,1
4533,-200,-200,1360,1257,1339,2031,246,19459,186,639,-200,1
4534,-200,-200,1296,1215,1269,1939,263,19018,172,565,-200,1
4535,112,341,1319,1220,1299,1929,269,18557,173,531,33,0
4536,170,622,1649,1519,1546,2265,265,17334,286,508,61,0
4537,173,615,1686,1593,1571,2409,251,17511,318,558,67,0
4538,135,443,1380,1299,1312,2016,239,17276,201,589,44,0
4539,93,219,1079,946,1074,1635,231,17562,92,628,19,0
4540,74,203,1096,989,1127,1724,221,17671,103,673,18,0
4541,69,165,1049,923,1040,1640,221,17441,86,665,15,0
4542,109,339,1161,925,1060,1649,211,17366,86,701,16,0
4543,55,103,865,753,911,1496,219,17394,48,671,8,0
4544,49,74,768,623,853,1421,217,17262,26,674,5,0
4545,-200,-200,845,725,915,1485,202,17229,43,738,7,1
4546,42,72,843,738,897,1471,191,16668,45,760,6,0
4547,50,180,964,840,976,1562,194,16802,66,754,9,0
4548,53,239,1065,982,1066,1699,197,16829,101,744,14,0
4549,86,664,1467,1387,1435,2140,199,17083,234,743,42,0
4550,81,525,1510,1430,1420,2194,204,17198,250,728,41,0
4551,96,543,1518,1341,1365,2033,216,17254,216,677,36,0
4552,96,390,1276,1083,1171,1758,229,16330,130,591,25,0
4553,79,217,873,850,982,1505,187,15608,68,731,13,0
4554,95,248,958,979,1021,1580,211,14444,100,583,17,0
4555,127,333,1076,1039,1044,1609,233,13281,117,471,21,0
4556,102,279,952,972,1005,1514,229,13208,98,479,17,0
4557,107,339,977,985,1021,1524,233,13010,102,462,19,0
4558,110,315,1059,1048,1064,1574,237,13150,120,454,23,0
4559,124,365,1199,1231,1167,1745,238,13373,177,461,33,0
4560,113,338,1212,1263,1167,1790,230,13689,188,493,35,0
4561,104,318,1193,1227,1164,1800,219,13787,176,531,36,0
4562,117,302,1105,1110,1092,1641,213,13742,138,548,29,0
4563,94,214,926,955,997,1528,212,13699,94,552,2,0
4564,-200,-200,1231,964,966,1560,214,13813,96,548,19,1
4565,-200,-200,995,922,969,1488,208,13925,85,572,15,1
4566,109,363,1094,1005,944,1633,213,13974,107,558,11,0
4567,72,178,774,817,834,1408,214,13125,61,521,8,0
4568,40,55,558,667,796,1295,206,13583,32,566,5,0
4569,-200,-200,510,585,777,1266,200,13694,20,591,4,1
4570,23,32,471,521,752,1247,197,14017,12,619,3,0
4571,24,35,471,528,755,1234,196,13346,13,591,3,0
4572,41,84,529,598,800,1278,198,12941,22,567,5,0
4573,99,456,1114,1136,1147,1708,202,13043,146,556,24,0
4574,91,342,987,965,1036,1544,197,13112,97,578,22,0
4575,81,239,851,845,926,1398,202,12442,67,531,14,0
4576,95,337,901,881,961,1417,220,12259,76,470,16,0
4577,113,351,949,926,951,1460,235,11884,86,416,16,0
4578,89,209,855,940,962,1441,228,11417,90,418,16,0
4579,88,257,911,1004,1004,1490,234,11500,107,404,21,0
4580,81,169,672,828,893,1357,232,12017,63,428,11,0
4581,82,216,826,956,990,1476,236,12433,94,432,16,0
4582,115,303,988,1068,1071,1556,239,11937,125,408,24,0
4583,112,320,1105,1155,1140,1660,236,12300,152,428,29,0
4584,116,310,1089,1143,1103,1647,232,12161,148,433,27,0
4585,129,341,1077,1178,1082,1605,228,11608,159,425,31,0
4586,110,272,923,977,991,1448,223,11209,100,422,22,0
4587,105,229,824,852,935,1344,221,11271,69,430,15,0
4588,90,168,717,790,908,1317,222,11237,55,427,12,0
4589,94,173,734,826,927,1331,221,11265,63,428,13,0
4590,96,186,776,844,936,1365,221,11443,67,435,14,0
4591,70,112,594,694,847,1240,215,11528,37,456,9,0
4592,57,79,518,664,812,1215,211,10980,32,445,7,0
4593,-200,-200,496,616,804,1189,204,11178,24,471,6,1
4594,45,62,514,636,793,1195,206,10993,27,459,-200,1
4595,42,58,468,609,775,1190,202,10899,23,467,5,0
4596,71,122,621,690,835,1257,201,11144,36,478,8,0
4597,82,173,757,830,913,1371,200,11724,64,507,12,0
4598,81,176,712,765,903,1317,207,11970,50,497,11,0
4599,89,233,859,895,982,1413,243,11842,79,395,16,0
4600,83,210,728,838,925,1324,254,11119,66,348,14,0
4601,82,178,640,776,895,1274,266,10501,52,307,12,0
4602,78,189,680,838,930,1319,277,10272,66,281,14,0
4603,79,210,704,881,953,1339,276,10406,76,287,16,0
4604,78,162,619,765,885,1268,276,10594,50,292,11,0
4605,73,137,583,779,903,1278,281,10715,53,286,11,0
4606,73,165,594,781,927,1267,291,10648,53,268,13,0
4607,100,204,700,835,979,1338,284,10798,65,283,15,0
4608,122,266,912,947,1050,1447,266,11020,92,321,2,0
4609,132,299,1038,1037,1091,1512,253,11262,116,353,24,0
4610,116,234,952,946,1040,1424,247,11397,92,371,2,0
4611,109,181,887,879,997,1404,235,11588,75,406,15,0
4612,109,210,1004,938,1042,1456,228,11915,90,434,17,0
4613,116,304,1221,1055,1191,1563,222,12626,121,479,25,0
4614,104,255,1177,996,1149,1534,213,12652,105,505,22,0
4615,81,149,957,862,973,1436,206,12742,71,532,14,0
4616,64,112,853,823,940,1415,196,12797,62,566,12,0
4617,-200,-200,884,890,949,1484,188,12847,78,598,12,1
4618,54,90,736,699,830,1339,188,12758,38,595,9,0
4619,35,46,590,609,773,1256,193,12603,23,570,5,0
4620,44,76,655,644,811,1289,182,12567,29,608,6,0
4621,62,139,854,754,901,1351,168,12721,48,668,1,0
4622,68,179,953,886,969,1451,186,12757,77,600,13,0
4623,85,224,1050,933,1027,1465,222,12678,88,480,17,0
4624,110,272,1114,1002,1094,1536,265,12149,106,357,22,0
4625,115,251,1049,984,1083,1485,300,11883,102,285,21,0
4626,129,250,996,1015,1098,1508,322,11696,110,247,22,0
4627,106,178,841,1047,1059,1549,296,11628,119,286,2,0
4628,87,137,769,1009,1021,1545,298,11809,108,285,2,0
4629,70,119,541,768,925,1289,311,11630,51,261,12,0
4630,106,193,742,910,1045,1385,346,12120,83,224,18,0
4631,151,329,1196,1317,1303,1816,332,12722,207,254,43,0
4632,179,413,1338,1204,1254,1655,300,13074,168,314,38,0
4633,188,489,1416,1306,1345,1806,275,13756,204,381,44,0
4634,187,470,1341,1159,1273,1704,262,14230,153,425,38,0
4635,121,228,1019,931,1096,1506,247,14206,88,464,19,0
4636,99,169,935,920,1077,1509,236,14383,85,500,17,0
4637,100,189,1081,929,1084,1517,227,14632,87,536,18,0
4638,79,100,903,800,980,1407,227,14666,57,538,11,0
4639,57,71,731,713,882,1343,228,14577,40,530,8,0
4640,43,52,625,655,851,1301,214,14469,30,576,7,0
4641,-200,-200,613,597,819,1281,199,14363,22,623,6,1
4642,50,57,646,601,804,1281,195,14269,22,635,5,0
4643,47,69,671,631,823,1304,202,14243,27,608,5,0
4644,60,126,801,748,903,1373,194,14139,47,635,9,0
4645,91,376,1353,1344,1310,2026,187,14039,217,656,35,0
4646,-200,-200,1682,1601,1436,2338,201,14062,322,606,-200,1
4647,159,737,1749,1490,1479,2146,235,14156,275,497,57,0
4648,173,481,1582,1243,1285,1815,264,14237,181,419,35,0
4649,174,425,1484,1258,1262,1835,299,14096,186,340,37,0
4650,165,330,1321,1227,1225,1774,315,14017,176,308,31,0
4651,136,303,1125,1188,1162,1681,302,12744,163,302,3,0
4652,125,283,967,1044,1103,1523,305,12612,118,293,26,0
4653,122,264,975,1045,1120,1563,318,12673,119,274,24,0
4654,124,280,1025,1163,1169,1639,343,12326,155,232,26,0
4655,184,505,1469,1522,1386,1990,341,12081,288,230,5,0
4656,200,566,1648,1577,1426,2080,305,12585,311,292,56,0
4657,225,681,1785,1663,1476,2167,281,12173,349,324,65,0
4658,168,448,1371,1282,1167,1685,265,10787,195,317,41,0
4659,118,231,1071,1039,1032,1455,248,10377,117,337,21,0
4660,115,230,1118,972,1034,1437,239,11123,99,381,2,0
4661,94,146,931,885,986,1407,230,11897,77,430,14,0
4662,62,77,722,732,908,1311,235,12755,44,447,8,0
4663,68,82,773,714,891,1295,223,12643,41,477,8,0
4664,50,55,665,656,843,1271,221,13094,31,498,6,0
4665,-200,-200,594,612,822,1254,218,13272,24,514,5,1
4666,36,42,565,589,814,1246,208,13581,21,559,4,0
4667,53,102,688,673,869,1307,188,13582,33,630,6,0
4668,79,231,974,905,1013,1499,183,13686,81,655,14,0
4669,133,699,1591,1584,1515,2288,182,13679,314,661,56,0
4670,148,738,1820,1795,1587,2531,196,13713,412,607,73,0
4671,161,665,1807,1487,1490,2115,226,13920,273,514,53,0
4672,191,598,1704,1408,1435,1991,258,14512,242,442,44,0
4673,158,340,1270,1209,1246,1792,285,14928,170,390,31,0
4674,157,374,1265,1231,1266,1768,301,14782,177,351,33,0
4675,188,401,1226,1277,1277,1846,294,14718,193,364,38,0
4676,143,275,987,1073,1142,1635,292,15116,127,379,23,0
4677,152,278,1024,1136,1207,1696,305,15015,146,349,26,0
4678,168,342,1127,1233,1252,1759,315,14310,178,314,32,0
4679,205,479,1442,1468,1399,2072,312,13987,266,314,5,0
4680,204,553,1639,1559,1464,2158,285,14282,303,372,56,0
4681,210,531,1624,1520,1422,2087,267,14618,287,423,54,0
4682,173,428,1454,1297,1308,1899,248,15092,200,490,44,0
4683,123,229,1138,1047,1137,1620,236,15374,119,536,24,0
4684,92,145,951,903,1040,1494,230,15480,81,558,15,0
4685,77,112,864,885,1018,1491,221,15393,77,584,13,0
4686,74,99,868,808,962,1430,226,15233,59,563,11,0
4687,74,98,825,768,930,1409,210,15031,51,613,1,0
4688,47,54,626,613,812,1302,230,15010,24,540,6,0
4689,-200,-200,605,612,826,1304,198,14894,24,653,5,1
4690,44,59,822,702,878,1373,183,14794,38,708,6,0
4691,69,162,905,764,922,1415,181,14876,50,725,8,0
4692,79,268,1075,965,1047,1606,183,14807,97,710,15,0
4693,108,531,1541,1452,1376,2123,185,14565,259,689,41,0
4694,119,517,1749,1648,1514,2400,201,14610,343,627,55,0
4695,165,701,1798,1528,1494,2201,235,14833,290,520,55,0
4696,172,510,1584,1298,1316,1888,268,14864,200,427,37,0
4697,180,415,1441,1247,1269,1813,291,14543,183,367,33,0
4698,130,243,1093,1099,1152,1631,308,14014,134,320,25,0
4699,120,267,1019,1117,1138,1646,279,13720,140,370,26,0
4700,117,233,944,1052,1132,1609,285,14291,121,373,22,0
4701,141,295,1046,1159,1186,1701,302,13865,153,329,26,0
4702,151,309,1089,1184,1228,1724,329,13622,161,277,29,0
4703,218,506,1537,1486,1424,2084,322,13624,273,288,5,0
4704,213,479,1566,1458,1427,2049,288,15203,262,390,51,0
4705,194,460,1510,1473,1387,2065,267,14881,267,433,52,0
4706,167,363,1300,1249,1284,1842,246,16461,183,540,38,0
4707,115,213,1058,1045,1110,1638,234,16992,119,599,22,0
4708,98,183,1002,1032,1110,1650,225,16883,115,626,21,0
4709,93,163,923,964,1077,1571,229,17127,96,620,18,0
4710,87,152,836,898,1037,1539,222,17190,80,649,16,0
4711,71,104,779,854,1002,1513,214,17261,69,685,14,0
4712,49,61,678,694,865,1385,222,16673,37,630,8,0
4713,-200,-200,601,615,824,1336,224,16069,24,599,5,1
4714,44,54,593,602,824,1337,211,15817,22,638,-200,1
4715,58,84,670,620,847,1339,229,15879,25,575,5,0
4716,66,132,837,828,961,1491,213,15794,63,632,9,0
4717,112,422,1400,1340,1336,2049,213,15941,216,635,32,0
4718,104,282,1393,1264,1251,1897,237,15765,188,544,28,0
4719,103,293,1415,1244,1290,1853,250,15903,181,508,27,0
4720,118,334,1285,1141,1215,1766,263,16199,148,481,24,0
4721,129,324,1230,1177,1248,1784,264,16006,159,473,27,0
4722,127,294,1147,1184,1233,1775,293,15855,161,395,28,0
4723,130,273,1107,1217,1229,1795,290,15581,172,396,29,0
4724,130,275,1068,1175,1206,1746,298,15642,158,380,26,0
4725,118,282,1115,1150,1215,1733,304,15880,151,372,26,0
4726,146,323,1362,1264,1330,1860,315,15903,189,349,32,0
4727,190,442,1619,1434,1446,2075,316,15925,252,348,46,0
4728,189,431,1572,1458,1446,2059,290,15949,261,405,49,0
4729,173,402,1446,1444,1421,2056,272,16302,256,459,47,0
4730,148,313,1233,1206,1247,1785,262,16256,169,487,33,0
4731,116,228,1102,1070,1168,1646,251,15840,126,505,23,0
4732,109,218,1028,991,1111,1559,241,14959,103,507,21,0
4733,94,179,942,934,1071,1504,225,14486,89,537,17,0
4734,64,97,773,835,969,1437,227,14580,65,537,1,0
4735,59,83,737,780,942,1419,215,14658,53,579,9,0
4736,64,80,815,744,923,1394,223,14828,46,558,7,0
4737,-200,-200,627,581,813,1320,227,14673,20,538,4,1
4738,52,66,642,618,851,1351,211,14789,25,599,4,0
4739,55,109,610,639,868,1367,204,14946,28,630,5,0
4740,83,232,929,915,1062,1579,208,15119,84,622,13,0
4741,114,535,1427,1328,1418,2017,213,15452,211,616,35,0
4742,137,684,1776,1641,1600,2430,219,15600,340,602,55,0
4743,160,803,1788,1538,1583,2214,230,15614,294,564,56,0
4744,138,539,1521,1305,1338,1929,251,15572,203,495,34,0
4745,134,364,1293,1252,1285,1866,266,15229,184,443,32,0
4746,143,422,1435,1359,1376,1998,262,15422,223,460,37,0
4747,153,483,1592,1477,1467,2114,254,15594,269,487,46,0
4748,145,496,1551,1403,1442,2026,256,15580,240,483,42,0
4749,123,403,1429,1277,1358,1892,257,15548,193,478,33,0
4750,96,282,1195,1133,1222,1698,249,15251,145,492,27,0
4751,107,268,981,1017,1134,1632,183,15682,111,754,22,0
4752,119,306,962,993,1120,1565,163,13601,104,739,28,0
4753,109,293,914,997,1103,1552,156,13345,105,757,29,0
4754,107,240,785,805,985,1390,154,13334,58,766,2,0
4755,57,93,482,596,795,1188,140,11988,22,754,7,0
4756,60,99,446,584,787,1129,149,10213,20,605,6,0
4757,22,55,553,701,839,1156,155,8880,38,509,12,0
4758,2,19,592,705,835,1161,156,8773,39,500,12,0
4759,7,26,584,693,837,1178,154,9326,37,536,11,0
4760,8,26,451,563,761,1106,154,9334,17,539,6,0
4761,-200,-200,382,499,718,1059,153,9017,10,524,3,1
4762,27,42,391,495,724,1071,153,9181,10,531,3,0
4763,14,32,398,486,718,1072,154,9295,9,537,3,0
4764,3,25,430,525,744,1097,155,9308,13,533,4,0
4765,9,28,461,591,782,1130,154,9178,21,527,6,0
4766,14,41,500,619,798,1138,157,9056,25,511,7,0
4767,52,130,594,744,867,1207,169,9142,46,477,1,0
4768,64,173,603,729,862,1171,182,8674,43,419,11,0
4769,66,168,686,834,915,1243,191,8104,65,370,15,0
4770,14,51,622,813,857,1183,193,7710,60,348,14,0
4771,9,31,624,812,837,1171,198,7127,60,312,14,0
4772,12,41,565,740,805,1117,198,7104,45,311,1,0
4773,14,41,514,705,781,1068,202,6717,39,286,9,0
4774,21,54,536,743,815,1095,221,6514,46,248,11,0
4775,43,112,669,844,877,1193,211,6853,67,277,13,0
4776,62,178,786,935,926,1262,201,7045,89,303,18,0
4777,68,218,891,971,987,1312,195,7384,98,330,24,0
4778,81,241,926,1007,1004,1321,193,7163,108,323,27,0
4779,88,223,902,875,897,1227,184,6975,74,332,17,0
4780,99,279,1011,989,1002,1358,178,7366,103,365,22,0
4781,98,330,1249,1111,1126,1473,178,8035,138,399,28,0
4782,97,330,1133,1013,1067,1350,170,8242,109,430,24,0
4783,101,341,1166,1040,1063,1413,155,9136,117,522,25,0
4784,90,205,953,893,915,1287,156,9135,78,519,14,0
4785,-200,-200,912,885,906,1304,135,9176,77,594,14,1
4786,61,130,831,786,844,1226,134,9173,55,599,-200,1
4787,55,102,793,739,816,1188,125,9146,45,632,9,0
4788,46,79,700,671,768,1153,136,8941,33,576,6,0
4789,56,148,780,785,835,1224,122,8964,54,632,1,0
4790,83,261,931,908,944,1321,146,9319,82,564,16,0
4791,55,107,575,651,810,1117,198,8831,30,386,9,0
4792,47,103,507,655,819,1104,216,8519,30,334,9,0
4793,61,122,518,680,844,1129,220,8407,35,322,1,0
4794,58,127,518,688,846,1138,227,8217,36,302,1,0
4795,59,110,516,711,842,1160,223,8063,40,304,9,0
4796,54,98,507,722,840,1169,221,7981,42,305,9,0
4797,69,146,490,657,815,1098,221,7761,31,295,9,0
4798,54,119,465,685,838,1121,234,7681,35,271,9,0
4799,95,234,781,987,992,1327,231,7538,103,270,27,0
4800,99,261,765,891,990,1278,215,7943,78,314,22,0
4801,127,371,1006,1004,1066,1384,203,8330,107,355,33,0
4802,98,266,798,870,971,1287,196,8193,73,363,21,0
4803,112,268,938,887,963,1311,187,8482,77,397,18,0
4804,115,294,996,925,1010,1351,180,8745,86,427,19,0
4805,114,303,1109,978,1054,1398,171,9208,100,476,23,0
4806,103,241,1042,920,998,1365,166,9634,85,513,19,0
4807,81,142,940,802,919,1265,159,9881,58,552,13,0
4808,75,110,900,764,884,1247,149,9891,50,589,1,0
4809,-200,-200,774,648,803,1178,141,9799,29,610,6,1
4810,64,104,790,674,820,1188,140,9948,34,626,6,0
4811,71,179,908,794,894,1266,141,9844,56,617,9,0
4812,99,361,1035,941,988,1399,144,9802,90,603,15,0
4813,132,799,1556,1477,1372,1973,150,9778,269,577,55,0
4814,135,614,1392,1262,1209,1708,169,9580,188,503,4,0
4815,94,275,904,908,951,1314,197,9108,82,402,18,0
4816,103,325,936,943,992,1351,222,8886,91,336,19,0
4817,123,327,907,947,964,1328,237,8537,92,296,17,0
4818,95,252,744,910,917,1275,219,7961,83,307,16,0
4819,90,226,773,942,937,1276,223,7838,91,295,19,0
4820,99,230,812,949,961,1306,238,7845,92,270,16,0
4821,107,244,856,962,969,1316,233,8012,96,283,18,0
4822,112,251,927,1042,1020,1401,242,8128,118,272,2,0
4823,132,346,1131,1219,1107,1582,251,8065,173,258,31,0
4824,148,407,1270,1233,1119,1539,223,7773,178,292,39,0
4825,158,490,1365,1322,1173,1679,208,7873,209,325,43,0
4826,145,434,1274,1144,1097,1517,191,8066,149,368,35,0
4827,128,345,1169,1024,1018,1400,181,8232,113,399,24,0
4828,105,192,1000,914,932,1298,174,8463,84,428,15,0
4829,90,157,910,849,897,1253,167,8793,68,466,13,0
4830,85,148,829,758,840,1189,171,9054,49,468,1,0
4831,73,105,756,680,802,1137,153,8982,35,519,8,0
4832,74,141,742,637,765,1113,150,8929,28,528,5,0
4833,-200,-200,686,595,741,1080,144,8887,21,545,4,1
4834,61,107,677,595,748,1089,128,8801,22,598,5,0
4835,69,166,748,704,791,1154,119,8726,39,627,7,0
4836,82,241,890,871,875,1253,121,8825,73,626,12,0
4837,120,368,1155,1164,1085,1503,135,8944,155,582,24,0
4838,135,498,1533,1482,1268,1849,144,9087,271,557,43,0
4839,152,641,1550,1332,1236,1683,178,9224,213,457,41,0
4840,177,667,2236,1294,1274,1595,210,9155,199,372,37,0
4841,181,550,2178,1280,1250,1663,245,9008,194,298,34,0
4842,176,483,1901,1347,1224,1670,264,8969,218,264,38,0
